World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Total_expense,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16
Kyrgyz Republic,6.6,39.1,57.6,72.9,240.2,3.3,419.7,1.9,6.4,50.1,98,96
Lao PDR,2.4,32.4,46.4,55.2,154.6,18.1,309.1,0.5,1,3.7,73,NaN
Latvia,6.2,54.6,44.6,874.2,1589.7,0,2569.3,3.2,4.8,67.6,100,100
Lebanon,8,52.1,32.1,662.1,1147.4,0.8,1902.5,2.3,2.6,87.4,100,NaN
Lesotho,8.1,63.8,18.9,85.5,242.7,17.3,436.3,0.1,0.7,0.6,43.3,NaN
Liberia,9.6,14.2,47.3,68.3,133.1,30.1,302.6,0,0.1,0.6,24.6,NaN
Libya,NaN,NaN,NaN,NaN,NaN,NaN,0,2.2,6.7,NaN,NaN,NaN
Liechtenstein,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,71.9,100,NaN
Lithuania,6.7,65.6,32.3,987.9,1978.3,1,3071.8,4.3,7.9,130.9,100,100
Luxembourg,6.2,81.2,11.2,6271.4,6374.2,1.2,12745.4,3,12.3,80.8,100,100
Madagascar,6,47.7,22.4,24.1,90.4,25.1,215.7,0.2,0.1,0.8,83,NaN
Malawi,9.8,28,11.4,29.6,115.2,53.8,247.8,0,0.3,0.4,67.2,NaN
Malaysia,3.8,50.5,37.6,361.5,1052.5,0,1505.9,1.5,4.1,11.4,NaN,56
Maldives,10.6,72.6,19.1,1047.8,1628.5,0.5,2779.1,1,4,4.8,98.8,84
Mali,3.8,31.6,35.3,29.8,81.2,32.2,213.9,0.1,0.4,1.1,86.7,NaN
Malta,9.3,63.1,34.8,2327.8,3511.1,0,5946.1,3.8,9,113.5,100,99.9
Marshall Islands,23.3,52.6,9,851.3,934.4,35.4,1906,0.5,3.5,15.9,84,NaN
Mauritania,4.2,36.7,50.9,46.8,163.9,8.2,310.7,0.2,1,NaN,66,NaN
Mauritius,5.7,44.1,48.2,553.1,1206.7,0.2,1858,2,3.4,17.6,NaN,100
Mexico,5.5,52.1,40.4,461.8,971.8,NaN,1531.6,2.2,2.9,NaN,95,99
"Micronesia, Fed. Sts.",12.6,27.8,2.6,386.7,431.6,69.2,930.5,0.2,3.3,7,NaN,NaN
Moldova,9,48.8,46.3,171.2,480.4,3.7,759.4,3.2,4.5,86.1,100,90
Monaco,1.7,79.6,7.1,2939.8,3019.1,NaN,6047.3,6.6,20.3,195.6,100,80
Mongolia,3.8,56.7,35.9,140.7,466.7,3.9,707.7,2.9,4,45,99,92
Montenegro,7.6,75,24.1,531.7,1333.9,0.4,1972.7,2.3,5.7,64.1,99,100
Morocco,5.8,46.9,48.6,171.5,465.7,0.7,739.2,0.7,1.1,3.7,96,24.3
Mozambique,5.1,53.3,7.7,19.2,61.6,38.1,185,0.1,0.4,0.5,55,NaN
Myanmar,5.1,20.1,74,62.1,291.1,5.9,458.3,0.9,1,2.4,81.3,NaN
Namibia,9.1,61.9,7.7,402.8,969.3,7,1457.8,0.4,2.8,6.1,78,NaN
Nepal,6.3,18.6,55.4,45.5,156,11.7,293.5,0.7,2.7,3,56.2,NaN
Netherlands,10.4,81,11.5,4742,5251.2,0,10096.1,3.5,11.1,49,100,100
New Caledonia,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
New Zealand,9.2,78.7,13.6,3745.2,3664.7,0,7511.4,3,11,43,100,100
Nicaragua,8.7,61.3,32.2,188.2,484.5,4.6,779.5,1,1.6,15.5,85,68
Niger,6.2,24.3,58.5,22.7,61.4,13,186.1,0.1,0.3,0.4,63.9,NaN
Nigeria,3.6,13,75.2,79.3,213.7,9.8,394.6,0.4,1.5,1.4,47,NaN
North Macedonia,6.3,63.6,35.4,327.8,934.6,0.7,1368.4,2.9,3.8,61.2,100,100
Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
Norway,10.5,85.1,14.5,7477.9,6203.5,0,13791.5,4.6,18.1,67.2,100,100
Oman,4.3,89.1,5.9,648.3,2826.8,0,3574.4,2,4.3,30.5,100,87
Pakistan,2.8,27.9,65.2,39.6,144.1,4.1,283.7,1,0.5,5.5,42.2,NaN
Palau,11.7,59.8,14.5,1674.1,1891.9,15.4,3667.4,1.2,5.3,NaN,NaN,NaN
Panama,7.3,65.6,27.4,1040.7,1750.3,0.7,2892,1.6,1.4,26.2,96,90
Papua New Guinea,2,70,7.9,55.2,92.3,22.1,249.5,0.1,0.5,2.3,NaN,NaN
Paraguay,8,51.6,37.9,327.2,767.8,0,1192.5,1.4,1.2,20.5,69,81
Peru,5.1,64.1,28.3,316.4,681,0.3,1095.2,1.3,1.4,42.9,98,69
Philippines,4.4,31.5,53.9,129.4,342.3,2.2,563.7,1.3,0.2,9.6,91.8,90
Poland,6.5,69.7,22.9,809,1784.4,0.2,2692.7,2.4,5.7,67.9,100,100
Portugal,9.1,66.4,27.8,1800.9,2778.4,NaN,4682.6,3.3,6.4,86.1,100,100
Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
Qatar,3.1,81.6,8.6,1827.1,3926.1,0,5846.5,0,6.6,14.5,100,77
Romania,5,78.2,20.7,476.4,1152.2,0,1732.5,2.3,6.1,60.5,NaN,100
Russian Federation,5.3,57,40.5,469.1,1329.3,NaN,1901.2,4,8.6,63.1,100,100
Rwanda,6.8,33.9,6.4,48.1,130.4,50.6,276.2,0.1,0.8,0.8,56,NaN
Samoa,5.5,76.4,11.9,227.1,352.8,10.8,684.5,0.3,1.9,1.6,59,NaN
San Marino,6.4,80.4,18.8,3012.8,3832,NaN,6950.4,6.1,8.8,112.9,100,NaN
Sao Tome and Principe,6,39.9,14.4,105.1,196.9,44.6,406.9,0.3,2.3,NaN,95,NaN
Saudi Arabia,5.7,67.8,14.3,1147.3,3117.2,0,4352.3,2.4,5.7,NaN,NaN,51
Senegal,5.5,34.6,51.8,52.6,141.7,6.2,292.4,0.1,0.3,1.1,77.4,NaN
Serbia,9.1,58,40.5,494.4,1322.6,0.1,1924.7,3.1,6.1,86.7,99,90
Seychelles,3.9,96,2.1,596.9,1122.6,1.9,1823.4,0.9,3.3,48.6,NaN,100
Sierra Leone,16.5,11.2,41.6,86.3,244,41,440.6,0,1,0.1,81,NaN
Singapore,4.5,54.5,31.2,2462.4,4083.8,0,6636.4,2.3,7.2,31.5,NaN,74
Sint Maarten (Dutch part),NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
Slovak Republic,7.1,79.8,17.8,1178.7,2172.2,0,3455.6,2.5,9.2,53.9,100,100
Slovenia,8.5,72.3,12,1834.2,2772.2,NaN,4699.2,3,9.7,66.7,100,100
Solomon Islands,5.2,69.2,4.6,106.3,117.8,26.2,329.3,0.2,2.1,2.5,88,NaN
Somalia,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.1,0.2,NaN,NaN
South Africa,8.1,53.7,7.8,428.2,1071.3,1.9,1571,0.9,3.5,11.4,89,91
South Sudan,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0.3,35,NaN
Spain,9,71.2,23.8,2389.9,3259.8,NaN,5753.7,4.1,5.5,79.9,100,100
Sri Lanka,3.9,43.1,50.1,153.1,491.5,1.1,742.8,1,2.1,2.8,NaN,NaN
St. Kitts and Nevis,5.7,43.2,51.5,930.8,1479.6,0,2510.8,2.5,4,33.5,NaN,79
St. Lucia,5.3,42,48.7,489.8,677.4,3.7,1266.9,0.1,1.6,23.6,92,85
St. Martin (French part),NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
St. Vincent and the Grenadines,3.6,76.8,20.5,250.2,409.1,0.6,760.8,0.7,2.6,23.6,NaN,100
Sudan,5.7,19.5,73.9,152,297.9,2.2,551.2,0.4,0.8,2.7,67,NaN
Suriname,6.1,69.4,21.8,356.1,907.6,1.4,1362.4,1.2,4.1,NaN,99,100
Sweden,10.9,83.5,15.2,5710.6,5386.7,NaN,11206.9,5.4,11.5,113.1,100,100
Switzerland,12.2,62.8,29.6,9836,7867.4,NaN,17808,4.2,17.3,94.8,100,100
Syrian Arab Republic,NaN,NaN,NaN,NaN,NaN,NaN,0,1.2,1.5,NaN,NaN,92
Tajikistan,7,28.6,66.1,55.7,208.5,5.1,371,1.7,5.2,41.7,95.8,NaN
Tanzania,4.1,40.6,21.9,35.5,112,36.4,250.5,0,0.4,0.5,26.4,NaN
Thailand,3.7,78.1,12.1,221.9,635,0.2,951,0.8,3,13.1,100,NaN
Timor-Leste,4,55.8,8.9,79.9,121.7,31.6,301.9,0.7,1.7,0.9,60.4,NaN
Togo,6.6,20,50.4,38.8,99.9,20.7,236.4,0,0.3,0.5,78,NaN
Tonga,5.3,65.9,11,203.2,311.4,19.4,616.2,0.5,3.9,14,93,NaN
Trinidad and Tobago,6.5,52.8,40.1,1063.8,2180.5,0.1,3343.8,2.7,3.5,30.9,97,85
Tunisia,7,56.6,39.9,256.5,806.3,0.1,1166.4,1.3,2.6,11.5,99,37
Turkey,4.3,78.4,16.5,468.6,1089.2,NaN,1657,1.8,2.6,47.6,99,78
Turkmenistan,6.6,18.5,76.2,422.8,1116.9,0.2,1641.2,2.2,4.6,58.8,100,NaN
Turks and Caicos Islands,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
Tuvalu,15.5,84.5,0.7,507.4,601,12.2,1221.3,0.9,3.8,26.1,NaN,NaN
Uganda,6.2,16.6,40.3,37.6,117.1,40.4,258.2,0.1,0.6,1.1,32.2,NaN
Ukraine,6.7,42.4,54.3,141.2,534.2,0.8,779.6,3,7.1,86.6,100,99
United Arab Emirates,3.5,72.5,18.6,1323.1,2546.2,0,3963.9,2.4,5.6,NaN,100,87
United Kingdom,9.8,80.2,15.1,3958,4177.8,0,8240.9,2.8,8.3,133.3,100,100
United States,17.1,81.8,11.1,9869.7,9869.7,0,19849.4,2.6,8.6,54.7,100,98
Uruguay,9.1,71.7,17.4,1379.1,1958.9,0,3436.2,5,1.9,38.9,100,99
Uzbekistan,6.3,46.1,52.2,135.1,416.9,1.2,657.8,2.4,12.1,50.4,NaN,NaN
Vanuatu,3.7,53.9,8.4,109.8,116.1,34.6,326.5,0.2,1.4,3.2,43,NaN
"Venezuela, RB",3.2,24.1,40,1578.4,940,0,2585.7,NaN,NaN,18.1,81,100
Vietnam,5.7,47.4,44.6,122.8,356.3,2.3,579.1,0.8,1.4,NaN,96,NaN
Virgin Islands (U.S.),NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
West Bank and Gaza,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,96,NaN
"Yemen, Rep.",5.6,10.2,81,72,144.5,7.8,321.1,0.3,0.7,0.8,30.7,NaN
Zambia,4.5,38.3,12.1,56.5,175.2,42.5,329.1,0.1,0.9,1.5,11.3,NaN
Zimbabwe,9.4,46.5,21.2,93.9,185,25.4,381.4,0.1,1.2,1.6,38,NaN
